month,month_name,total_hours,total_fishing_hours,vessel_presence,hours_share,fishing_hours_share
1,Jan,8479572.637299998,2440180.4165999987,1475789.0,0.018914034689209838,0.01679692170405477
2,Feb,8237554.995899998,2391755.625900001,1403717.0,0.018374204409944975,0.016463590851799003
3,Mar,10945621.512800006,3361182.3547000014,1634311.0,0.02441465788940755,0.023136615825976873
4,Apr,11730769.6914,3963534.356699999,1790960.0,0.026165963116853395,0.027282890973112074
5,May,8885859.5034,2848766.3421999994,1550685.0,0.01982027421422824,0.01960941284405188
6,Jun,8913441.9434,2920603.364399999,1535336.0,0.01988179797837152,0.020103901214312263
7,Jul,9678778.521899998,3223446.6050000004,1572331.0,0.021588912618913048,0.022188515190539538
8,Aug,13049253.157,4557693.245499999,2000808.0,0.029106894585004425,0.03137276902764027
9,Sep,16582669.083900003,6175179.800300001,2316488.0,0.03698832378803005,0.04250669782795098
10,Oct,14275933.917400002,4717243.926300003,2145953.0,0.03184305635248939,0.03247103220318054
11,Nov,12990647.849699996,4308230.2302,1970360.0,0.02897617304246251,0.029655596515498768
12,Dec,11151787.187600005,3365160.370499999,1760888.0,0.02487451888614443,0.0231639983996077
1,Jan,10477618.2991,3031172.597799999,1865270.0,0.023370757518810324,0.020865001804933718
2,Feb,9332090.6419,2727451.1704000006,1714158.0,0.020815611077771166,0.018774342851531504
3,Mar,12601940.6274,3854141.458299999,2113426.0,0.028109145634242855,0.02652988765544566
4,Apr,13736264.997600002,4770765.693500002,2284748.0,0.030639302683951243,0.032839447967443425
5,May,10155416.505,3380052.043300001,2029734.0,0.022652073196946492,0.023266504861983364
6,Jun,9741975.2848,3355623.992300001,1913510.0,0.021729875591560806,0.023098354975508426
7,Jul,10780975.0562,3770693.1270999997,1928486.0,0.024047407212423013,0.025955473126107936
8,Aug,13590548.628800001,4589588.4322,2193754.0,0.030314276344516937,0.03159231875850917
9,Sep,16540722.6278,5569622.6209,2502348.0,0.036894760496611924,0.03833835992124718
10,Oct,16219266.046700006,5452421.358399997,2467241.0,0.03617773840292112,0.03753160792191269
11,Nov,14569943.371100003,4731605.536800001,2198046.0,0.03249885650234319,0.03256988999478953
12,Dec,12713496.185200002,3652860.4694000008,1959072.0,0.02835797488310406,0.02514437493348933
1,Jan,11885229.918199996,3463782.5268999995,2055584.0,0.02651049299032218,0.023842861580406435
2,Feb,10564054.034100005,3120196.527999998,1815233.0,0.02356355597223545,0.021477795832450797
3,Mar,13746301.3105,4214938.9662999995,2208587.0,0.030661689091670344,0.02901342840172299
4,Apr,14344673.2202,4851790.066599996,2458915.0,0.03199638218779768,0.03339717724099321
5,May,11082241.313,3587443.0744999987,1980695.0,0.02471939395934213,0.024694075909391114
6,Jun,10761802.847100005,3623518.9773999983,1947114.0,0.024004642813378774,0.02494240349709411
7,Jul,11622385.815699998,3841582.6728999997,2017745.0,0.02592420843505217,0.026443439565940974
8,Aug,14473807.220399996,4805279.464300001,2331290.0,0.03228442087368561,0.03307702265737026
9,Sep,18371048.948400013,6149178.020099998,2723681.0,0.04097737845404539,0.04232771521534809
10,Oct,17270715.995200012,5830161.026700004,2573527.0,0.03852304065464277,0.04013176961069116
11,Nov,15280145.7428,4794073.288799998,2244817.0,0.03408299203242929,0.03299988522474644
12,Dec,13537169.236200007,3834533.6678000027,2040826.0,0.03019521141913566,0.02639491791321781
