month,gap_count,total_gap_hours,month_name,gap_count_share,gap_hours_share
1,3725,398125.7833333333,Jan,0.06727712758271925,0.07162451691700897
2,4717,500310.6,Feb,0.08519361363964745,0.09000799881241613
3,5135,481416.7,Mar,0.09274310070799018,0.0866089060713031
4,4115,378917.7833333333,Apr,0.07432090738332611,0.0681689162537632
5,4059,490102.45,May,0.07330949284785436,0.0881715093335265
6,3942,476921.5833333333,Jun,0.0711963589076723,0.08580021551868437
7,5428,512485.43333333335,Jul,0.09803496604536917,0.0921983029638933
8,5204,517658.6666666667,Aug,0.09398930790348216,0.09312898958081291
9,5373,518247.81666666665,Sep,0.09704161248374513,0.09323498016446301
10,5555,528726.5,Oct,0.10032870972402833,0.09512013973738101
11,4660,438021.85,Nov,0.08416413813032798,0.07880198851395975
12,3455,317577.48333333334,Dec,0.062400664643837596,0.057133536132787856
