month,month_name,gap_count,gap_count_share,total_gap_hours,gap_hours_share,total_hours,hours_share,total_fishing_hours,fishing_hours_share
1,Jan,3725,0.0672771275827192,398125.7833333333,0.0716245169170089,8479572.637299998,0.0189140346892098,2440180.4165999987,0.0167969217040547
1,Jan,3725,0.0672771275827192,398125.7833333333,0.0716245169170089,10477618.2991,0.0233707575188103,3031172.597799999,0.0208650018049337
1,Jan,3725,0.0672771275827192,398125.7833333333,0.0716245169170089,11885229.918199996,0.0265104929903221,3463782.5268999995,0.0238428615804064
2,Feb,4717,0.0851936136396474,500310.6,0.0900079988124161,8237554.995899998,0.0183742044099449,2391755.625900001,0.016463590851799
2,Feb,4717,0.0851936136396474,500310.6,0.0900079988124161,9332090.6419,0.0208156110777711,2727451.1704000006,0.0187743428515315
2,Feb,4717,0.0851936136396474,500310.6,0.0900079988124161,10564054.034100004,0.0235635559722354,3120196.527999998,0.0214777958324507
3,Mar,5135,0.0927431007079901,481416.7,0.0866089060713031,10945621.512800006,0.0244146578894075,3361182.3547000014,0.0231366158259768
3,Mar,5135,0.0927431007079901,481416.7,0.0866089060713031,12601940.6274,0.0281091456342428,3854141.458299999,0.0265298876554456
3,Mar,5135,0.0927431007079901,481416.7,0.0866089060713031,13746301.3105,0.0306616890916703,4214938.9662999995,0.0290134284017229
4,Apr,4115,0.0743209073833261,378917.7833333333,0.0681689162537632,11730769.6914,0.0261659631168533,3963534.356699999,0.027282890973112
4,Apr,4115,0.0743209073833261,378917.7833333333,0.0681689162537632,13736264.997600002,0.0306393026839512,4770765.693500002,0.0328394479674434
4,Apr,4115,0.0743209073833261,378917.7833333333,0.0681689162537632,14344673.2202,0.0319963821877976,4851790.066599996,0.0333971772409932
5,May,4059,0.0733094928478543,490102.45,0.0881715093335265,8885859.5034,0.0198202742142282,2848766.3421999994,0.0196094128440518
5,May,4059,0.0733094928478543,490102.45,0.0881715093335265,10155416.505,0.0226520731969464,3380052.043300001,0.0232665048619833
5,May,4059,0.0733094928478543,490102.45,0.0881715093335265,11082241.313,0.0247193939593421,3587443.0744999987,0.0246940759093911
6,Jun,3942,0.0711963589076723,476921.5833333333,0.0858002155186843,9741975.2848,0.0217298755915608,3355623.992300001,0.0230983549755084
6,Jun,3942,0.0711963589076723,476921.5833333333,0.0858002155186843,10761802.847100005,0.0240046428133787,3623518.9773999983,0.0249424034970941
6,Jun,3942,0.0711963589076723,476921.5833333333,0.0858002155186843,8913441.9434,0.0198817979783715,2920603.364399999,0.0201039012143122
7,Jul,5428,0.0980349660453691,512485.43333333335,0.0921983029638933,9678778.521899998,0.021588912618913,3223446.6050000004,0.0221885151905395
7,Jul,5428,0.0980349660453691,512485.43333333335,0.0921983029638933,10780975.0562,0.024047407212423,3770693.1271,0.0259554731261079
7,Jul,5428,0.0980349660453691,512485.43333333335,0.0921983029638933,11622385.815699998,0.0259242084350521,3841582.6729,0.0264434395659409
8,Aug,5204,0.0939893079034821,517658.6666666667,0.0931289895808129,13049253.157,0.0291068945850044,4557693.245499999,0.0313727690276402
8,Aug,5204,0.0939893079034821,517658.6666666667,0.0931289895808129,13590548.6288,0.0303142763445169,4589588.4322,0.0315923187585091
8,Aug,5204,0.0939893079034821,517658.6666666667,0.0931289895808129,14473807.220399996,0.0322844208736856,4805279.464300001,0.0330770226573702
9,Sep,5373,0.0970416124837451,518247.81666666665,0.093234980164463,18371048.948400013,0.0409773784540453,6149178.020099998,0.042327715215348
9,Sep,5373,0.0970416124837451,518247.81666666665,0.093234980164463,16582669.083900005,0.03698832378803,6175179.800300001,0.0425066978279509
9,Sep,5373,0.0970416124837451,518247.81666666665,0.093234980164463,16540722.6278,0.0368947604966119,5569622.6209,0.0383383599212471
10,Oct,5555,0.1003287097240283,528726.5,0.095120139737381,14275933.917400002,0.0318430563524893,4717243.926300003,0.0324710322031805
10,Oct,5555,0.1003287097240283,528726.5,0.095120139737381,16219266.046700006,0.0361777384029211,5452421.358399997,0.0375316079219126
10,Oct,5555,0.1003287097240283,528726.5,0.095120139737381,17270715.995200012,0.0385230406546427,5830161.026700004,0.0401317696106911
11,Nov,4660,0.0841641381303279,438021.85,0.0788019885139597,12990647.849699996,0.0289761730424625,4308230.2302,0.0296555965154987
11,Nov,4660,0.0841641381303279,438021.85,0.0788019885139597,14569943.371100005,0.0324988565023431,4731605.536800001,0.0325698899947895
11,Nov,4660,0.0841641381303279,438021.85,0.0788019885139597,15280145.7428,0.0340829920324292,4794073.288799998,0.0329998852247464
12,Dec,3455,0.0624006646438375,317577.48333333334,0.0571335361327878,12713496.185200002,0.028357974883104,3652860.4694000008,0.0251443749334893
12,Dec,3455,0.0624006646438375,317577.48333333334,0.0571335361327878,11151787.187600004,0.0248745188861444,3365160.370499999,0.0231639983996077
12,Dec,3455,0.0624006646438375,317577.48333333334,0.0571335361327878,13537169.236200009,0.0301952114191356,3834533.6678000023,0.0263949179132178
